Column,Update Frequency
pr_5D_max,Unknown
tmmn_5D_max,Unknown
tmmx_5D_max,Unknown
rmin_5D_min,Unknown
rmax_5D_min,Unknown
sph_5D_min,Unknown
vs_5D_max,Unknown
th_5D_max,Unknown
srad_5D_max,Unknown
etr_5D_max,Unknown
fm100_5D_min,Daily
fm1000_5D_min,Daily
bi_5D_max,Daily
vpd_5D_max,Unknown
erc_5D_max,Daily
tmmn_Percentile,Daily
tmmx_Percentile,Daily
sph_Percentile,Daily
vs_Percentile,Daily
fm100_Percentile,Daily
bi_Percentile,Daily
vpd_Percentile,Daily
erc_Percentile,Daily
NDVI-1day,Monthly
NDVI_min,Monthly
NDVI_max,Monthly
NDVI_mean,Monthly
CheatGrass,Unknown
ExoticAnnualGrass,Daily
Medusahead,Unknown
PoaSecunda,Unknown
geometry,Static
source_year,Unknown
