Column,Leakage Label,Readiness Label,Missing %,Is Constant,Unique Values,Rationale
EVT_1km,Definitely Safe,Review Later,0.0,False,41996,Information is typically available before fire ignition.
EVC,Definitely Safe,Review Later,0.0,False,214,Information is typically available before fire ignition.
EVC_1km,Definitely Safe,Review Later,0.0,False,39786,Information is typically available before fire ignition.
NAME,Definitely Safe,Review Later,0.1336,False,18,Information is typically available before fire ignition.
MOD_NDVI_12m,Definitely Safe,Candidate Feature,0.0,False,38769,Information is typically available before fire ignition.
MOD_EVI_12m,Definitely Safe,Candidate Feature,0.0,False,38758,Information is typically available before fire ignition.
Land_Cover,Definitely Safe,Review Later,0.0,False,16,Information is typically available before fire ignition.
Land_Cover_1km,Definitely Safe,Review Later,0.0,False,39929,Information is typically available before fire ignition.
rpms,Definitely Safe,Review Later,0.0,False,3734,Information is typically available before fire ignition.
rpms_1km,Definitely Safe,Review Later,0.0,False,46607,Information is typically available before fire ignition.
Population,Definitely Safe,Candidate Feature,0.0,False,20394,Information is typically available before fire ignition.
Popo_1km,Definitely Safe,Candidate Feature,0.0255,False,24450,Information is typically available before fire ignition.
GACCAbbrev,Definitely Safe,Administrative,0.1965,False,10,Information is typically available before fire ignition.
GACC_PL,Definitely Safe,Administrative,0.1965,False,5,Information is typically available before fire ignition.
GACC_New fire,Definitely Safe,Administrative,0.1965,False,235,Information is typically available before fire ignition.
GACC_New LF,Definitely Safe,Administrative,0.1965,False,40,Information is typically available before fire ignition.
GACC_Uncont LF,Definitely Safe,Administrative,0.1965,False,36,Information is typically available before fire ignition.
GACC_Type 1 IMTs,Definitely Safe,Administrative,0.1965,False,8,Information is typically available before fire ignition.
GACC_Type 2 IMTs,Definitely Safe,Administrative,0.1965,False,13,Information is typically available before fire ignition.
GACC_NIMO Teams,Definitely Safe,Administrative,0.1965,False,4,Information is typically available before fire ignition.
GACC_Area Command Teams,Definitely Safe,Administrative,0.1965,False,3,Information is typically available before fire ignition.
GACC_Fire Use Teams,Definitely Safe,Administrative,100.0,True,0,Information is typically available before fire ignition.
GDP,Definitely Safe,Review Later,0.0059,False,9,Information is typically available before fire ignition.
pr_Normal,Definitely Safe,Review Later,0.0,False,958,Information is typically available before fire ignition.
tmmn_Normal,Definitely Safe,Review Later,0.0,False,359,Information is typically available before fire ignition.
tmmx_Normal,Definitely Safe,Review Later,0.0,False,399,Information is typically available before fire ignition.
rmin_Normal,Definitely Safe,Review Later,1.5841,False,603,Information is typically available before fire ignition.
rmax_Normal,Definitely Safe,Review Later,1.5841,False,676,Information is typically available before fire ignition.
sph_Normal,Definitely Safe,Review Later,0.0,False,107,Information is typically available before fire ignition.
srad_Normal,Definitely Safe,Review Later,0.0,False,297,Information is typically available before fire ignition.
fm100_Normal,Definitely Safe,Review Later,0.0,False,203,Information is typically available before fire ignition.
fm1000_Normal,Definitely Safe,Review Later,1.5841,False,255,Information is typically available before fire ignition.
bi_Normal,Definitely Safe,Candidate Feature,0.0,False,823,Information is typically available before fire ignition.
vpd_Normal,Definitely Safe,Review Later,0.0,False,461,Information is typically available before fire ignition.
erc_Normal,Definitely Safe,Candidate Feature,0.0,False,965,Information is typically available before fire ignition.
DF_PFS,Definitely Safe,Review Later,0.0668,False,90,Information is typically available before fire ignition.
AF_PFS,Definitely Safe,Review Later,0.0668,False,55,Information is typically available before fire ignition.
HDF_PFS,Definitely Safe,Review Later,0.0668,False,70,Information is typically available before fire ignition.
DSF_PFS,Definitely Safe,Review Later,0.0275,False,100,Information is typically available before fire ignition.
EBF_PFS,Definitely Safe,Review Later,0.0884,False,55,Information is typically available before fire ignition.
EALR_PFS,Definitely Safe,Review Later,0.0177,False,100,Information is typically available before fire ignition.
EBLR_PFS,Definitely Safe,Review Later,0.0177,False,100,Information is typically available before fire ignition.
EPLR_PFS,Definitely Safe,Review Later,0.0216,False,99,Information is typically available before fire ignition.
HBF_PFS,Definitely Safe,Review Later,0.114,False,100,Information is typically available before fire ignition.
LLEF_PFS,Definitely Safe,Review Later,5.9079,False,100,Information is typically available before fire ignition.
LIF_PFS,Definitely Safe,Review Later,0.0884,False,76,Information is typically available before fire ignition.
LMI_PFS,Definitely Safe,Review Later,5.8254,False,100,Information is typically available before fire ignition.
MHVF_PFS,Definitely Safe,Review Later,0.568,False,99,Information is typically available before fire ignition.
PM25F_PFS,Definitely Safe,Review Later,0.0118,False,99,Information is typically available before fire ignition.
HSEF,Definitely Safe,Review Later,0.0491,False,71,Information is typically available before fire ignition.
P100_PFS,Definitely Safe,Review Later,0.0786,False,100,Information is typically available before fire ignition.
P200_PFS,Definitely Safe,Review Later,0.0786,False,100,Information is typically available before fire ignition.
LPF_PFS,Definitely Safe,Review Later,0.0039,False,98,Information is typically available before fire ignition.
NPL_PFS,Definitely Safe,Review Later,0.0039,False,100,Information is typically available before fire ignition.
RMP_PFS,Definitely Safe,Review Later,0.0039,False,100,Information is typically available before fire ignition.
TSDF_PFS,Definitely Safe,Review Later,0.0039,False,98,Information is typically available before fire ignition.
TPF,Definitely Safe,Review Later,0.0039,False,3007,Information is typically available before fire ignition.
TF_PFS,Definitely Safe,Review Later,8.6673,False,100,Information is typically available before fire ignition.
UF_PFS,Definitely Safe,Review Later,0.0766,False,100,Information is typically available before fire ignition.
WF_PFS,Definitely Safe,Review Later,46.3002,False,100,Information is typically available before fire ignition.
M_WTR,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_WKFC,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_CLT,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_ENY,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_TRN,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_HSG,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_PLN,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_HLTH,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
SM_C,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
SM_PFS,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
EPLRLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
EALRLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
EBLRLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
PM25LI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
EBLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
DPMLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
TPLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
LPMHVLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
HBLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
RMPLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
SFLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
HWLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
WDLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
DLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
ALI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
HDLI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
LLELI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
LILHSE,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
PLHSE,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
LMILHSE,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
ULHSE,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
EPL_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
EAL_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
EBL_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
EB_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
PM25_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
DS_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
TP_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
LPP_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
HB_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
RMP_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
NPL_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
TSDF_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
WD_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
DB_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
A_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
HD_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
LLE_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
UN_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
LISO_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
POV_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
LMI_ET,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
IA_LMI_ET,Definitely Safe,Likely Remove,0.0039,True,1,Information is typically available before fire ignition.
IA_UN_ET,Definitely Safe,Likely Remove,0.0039,True,1,Information is typically available before fire ignition.
IA_POV_ET,Definitely Safe,Likely Remove,0.0039,True,1,Information is typically available before fire ignition.
TC,Definitely Safe,Review Later,0.0039,False,14,Information is typically available before fire ignition.
CC,Definitely Safe,Review Later,0.0039,False,9,Information is typically available before fire ignition.
IAULHSE,Definitely Safe,Likely Remove,0.0039,True,1,Information is typically available before fire ignition.
IAPLHSE,Definitely Safe,Likely Remove,0.0039,True,1,Information is typically available before fire ignition.
IALMILHSE,Definitely Safe,Likely Remove,0.0039,True,1,Information is typically available before fire ignition.
IALMIL_87,Definitely Safe,Review Later,100.0,True,0,Information is typically available before fire ignition.
IAPLHS_88,Definitely Safe,Review Later,100.0,True,0,Information is typically available before fire ignition.
IAULHS_89,Definitely Safe,Review Later,100.0,True,0,Information is typically available before fire ignition.
LHE,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
IALHE,Definitely Safe,Likely Remove,0.0039,True,1,Information is typically available before fire ignition.
IAHSEF,Definitely Safe,Review Later,100.0,True,0,Information is typically available before fire ignition.
CA,Definitely Safe,Review Later,0.0491,False,65,Information is typically available before fire ignition.
NCA,Definitely Safe,Review Later,0.0491,False,65,Information is typically available before fire ignition.
CA_LT20,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_CLT_EOMI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_ENY_EOMI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_TRN_EOMI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_HSG_EOMI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_PLN_EOMI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_WTR_EOMI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_HLTH_102,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_WKFC_103,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
FPL200S,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_WKFC_105,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
M_EBSI,Definitely Safe,Review Later,0.0039,False,2,Information is typically available before fire ignition.
UI_EXP,Definitely Safe,Likely Remove,0.0039,True,1,Information is typically available before fire ignition.
THRHLD,Definitely Safe,Likely Remove,0.0039,True,1,Information is typically available before fire ignition.
No_FireStation_1.0km,Definitely Safe,Review Later,84.0392,False,4,Information is typically available before fire ignition.
No_FireStation_5.0km,Definitely Safe,Candidate Feature,23.7338,False,40,Information is typically available before fire ignition.
No_FireStation_10.0km,Definitely Safe,Candidate Feature,4.7837,False,120,Information is typically available before fire ignition.
No_FireStation_20.0km,Definitely Safe,Candidate Feature,0.3498,False,389,Information is typically available before fire ignition.
FRG_1km,Definitely Safe,Review Later,0.0,False,24591,Information is typically available before fire ignition.
FRG,Definitely Safe,Review Later,0.0,False,10,Information is typically available before fire ignition.
TRI_1km,Definitely Safe,Review Later,0.0,False,21986,Information is typically available before fire ignition.
TRI,Definitely Safe,Review Later,0.0,False,2394,Information is typically available before fire ignition.
Aspect_1km,Definitely Safe,Candidate Feature,0.0,False,40270,Information is typically available before fire ignition.
Elevation_1km,Definitely Safe,Candidate Feature,0.0,False,45301,Information is typically available before fire ignition.
Elevation,Definitely Safe,Candidate Feature,0.0,False,2878,Information is typically available before fire ignition.
Slope_1km,Definitely Safe,Candidate Feature,0.0,False,37993,Information is typically available before fire ignition.
Aspect,Definitely Safe,Candidate Feature,0.0,False,361,Information is typically available before fire ignition.
Slope,Definitely Safe,Candidate Feature,0.0,False,56,Information is typically available before fire ignition.
GHM,Definitely Safe,Review Later,0.0,False,101,Information is typically available before fire ignition.
TPI,Definitely Safe,Review Later,0.0,False,185,Information is typically available before fire ignition.
TPI_1km,Definitely Safe,Review Later,0.0,False,70,Information is typically available before fire ignition.
TRACT,Definitely Safe,Review Later,0.0865,False,3347,Information is typically available before fire ignition.
RPL_THEMES,Definitely Safe,Review Later,0.0865,False,5597,Information is typically available before fire ignition.
RPL_THEME1,Definitely Safe,Review Later,0.0865,False,5673,Information is typically available before fire ignition.
EPL_POV,Definitely Safe,Review Later,0.0865,False,1674,Information is typically available before fire ignition.
EPL_UNEMP,Definitely Safe,Review Later,0.0865,False,867,Information is typically available before fire ignition.
EPL_PCI,Definitely Safe,Review Later,7.3033,False,4956,Information is typically available before fire ignition.
EPL_NOHSDP,Definitely Safe,Review Later,0.0865,False,1604,Information is typically available before fire ignition.
RPL_THEME2,Definitely Safe,Review Later,0.0865,False,5654,Information is typically available before fire ignition.
EPL_AGE65,Definitely Safe,Review Later,0.0865,False,1273,Information is typically available before fire ignition.
EPL_AGE17,Definitely Safe,Review Later,0.0865,False,3770,Information is typically available before fire ignition.
EPL_DISABL,Definitely Safe,Review Later,0.0865,False,993,Information is typically available before fire ignition.
EPL_SNGPNT,Definitely Safe,Review Later,0.0865,False,3609,Information is typically available before fire ignition.
RPL_THEME3,Definitely Safe,Review Later,0.0865,False,4730,Information is typically available before fire ignition.
EPL_MINRTY,Definitely Safe,Review Later,0.0865,False,4053,Information is typically available before fire ignition.
EPL_LIMENG,Definitely Safe,Review Later,0.0865,False,3269,Information is typically available before fire ignition.
RPL_THEME4,Definitely Safe,Review Later,0.0865,False,5631,Information is typically available before fire ignition.
EPL_MUNIT,Definitely Safe,Review Later,0.0865,False,3049,Information is typically available before fire ignition.
EPL_MOBILE,Definitely Safe,Candidate Feature,0.0865,False,1183,Information is typically available before fire ignition.
EPL_CROWD,Definitely Safe,Review Later,0.0865,False,3066,Information is typically available before fire ignition.
EPL_NOVEH,Definitely Safe,Review Later,0.0865,False,884,Information is typically available before fire ignition.
EPL_GROUPQ,Definitely Safe,Review Later,0.0865,False,2710,Information is typically available before fire ignition.
road_county_dis,Definitely Safe,Review Later,98.3511,False,281,Information is typically available before fire ignition.
road_interstate_dis,Definitely Safe,Review Later,99.9194,False,37,Information is typically available before fire ignition.
road_common_name_dis,Definitely Safe,Candidate Feature,35.0229,False,625,Information is typically available before fire ignition.
road_other_dis,Definitely Safe,Review Later,99.3219,False,215,Information is typically available before fire ignition.
road_state_dis,Definitely Safe,Review Later,98.638,False,239,Information is typically available before fire ignition.
road_US_dis,Definitely Safe,Review Later,99.7583,False,101,Information is typically available before fire ignition.
Ecoregion_US_L4CODE,Definitely Safe,Review Later,0.1336,False,173,Information is typically available before fire ignition.
Ecoregion_US_L3CODE,Definitely Safe,Review Later,0.1336,False,13,Information is typically available before fire ignition.
Ecoregion_NA_L3CODE,Definitely Safe,Review Later,0.1336,False,12,Information is typically available before fire ignition.
Ecoregion_NA_L2CODE,Definitely Safe,Review Later,0.1336,False,5,Information is typically available before fire ignition.
Ecoregion_NA_L1CODE,Definitely Safe,Review Later,0.1336,False,4,Information is typically available before fire ignition.
SDI,Definitely Safe,Review Later,0.0,False,224,Information is typically available before fire ignition.
Annual_etr,Definitely Safe,Review Later,0.0,False,2203,Information is typically available before fire ignition.
Annual_precipitation,Definitely Safe,Review Later,0.0,False,2469,Information is typically available before fire ignition.
Annual_tempreture,Definitely Safe,Review Later,0.0,False,26,Information is typically available before fire ignition.
Aridity_index,Definitely Safe,Review Later,0.0,False,227,Information is typically available before fire ignition.
Evacuation,Definitely Safe,Review Later,89.1335,False,4,Information is typically available before fire ignition.
pr,Definitely Safe,Review Later,0.0,False,355,Information is typically available before fire ignition.
tmmn,Definitely Safe,Review Later,0.0,False,421,Information is typically available before fire ignition.
tmmx,Definitely Safe,Review Later,0.0,False,458,Information is typically available before fire ignition.
rmin,Definitely Safe,Review Later,0.0,False,841,Information is typically available before fire ignition.
rmax,Definitely Safe,Review Later,0.0,False,871,Information is typically available before fire ignition.
sph,Definitely Safe,Review Later,0.0,False,1417,Information is typically available before fire ignition.
vs,Definitely Safe,Review Later,0.0,False,135,Information is typically available before fire ignition.
th,Definitely Safe,Review Later,0.0,False,361,Information is typically available before fire ignition.
srad,Definitely Safe,Review Later,0.0,False,3284,Information is typically available before fire ignition.
etr,Definitely Safe,Review Later,0.0,False,214,Information is typically available before fire ignition.
fm100,Definitely Safe,Review Later,0.0,False,253,Information is typically available before fire ignition.
fm1000,Definitely Safe,Review Later,0.0,False,284,Information is typically available before fire ignition.
bi,Definitely Safe,Candidate Feature,0.0,False,127,Information is typically available before fire ignition.
vpd,Definitely Safe,Review Later,0.0,False,579,Information is typically available before fire ignition.
erc,Definitely Safe,Candidate Feature,0.0,False,114,Information is typically available before fire ignition.
pr_5D_mean,Definitely Safe,Review Later,0.0,False,758,Information is typically available before fire ignition.
tmmn_5D_mean,Definitely Safe,Review Later,0.0,False,3339,Information is typically available before fire ignition.
tmmx_5D_mean,Definitely Safe,Review Later,0.0,False,3832,Information is typically available before fire ignition.
rmin_5D_mean,Definitely Safe,Review Later,0.0,False,763,Information is typically available before fire ignition.
rmax_5D_mean,Definitely Safe,Review Later,0.0,False,832,Information is typically available before fire ignition.
sph_5D_mean,Definitely Safe,Review Later,0.0,False,9894,Information is typically available before fire ignition.
vs_5D_mean,Definitely Safe,Review Later,0.0,False,455,Information is typically available before fire ignition.
th_5D_mean,Definitely Safe,Review Later,0.0,False,1627,Information is typically available before fire ignition.
srad_5D_mean,Definitely Safe,Review Later,0.0,False,18684,Information is typically available before fire ignition.
etr_5D_mean,Definitely Safe,Review Later,0.0,False,830,Information is typically available before fire ignition.
fm100_5D_mean,Definitely Safe,Review Later,0.0,False,243,Information is typically available before fire ignition.
fm1000_5D_mean,Definitely Safe,Review Later,0.0,False,282,Information is typically available before fire ignition.
bi_5D_mean,Definitely Safe,Candidate Feature,0.0,False,524,Information is typically available before fire ignition.
vpd_5D_mean,Definitely Safe,Review Later,0.0,False,552,Information is typically available before fire ignition.
erc_5D_mean,Definitely Safe,Candidate Feature,0.0,False,546,Information is typically available before fire ignition.
pr_5D_min,Definitely Safe,Review Later,0.0,False,41,Information is typically available before fire ignition.
pr_5D_max,Definitely Safe,Review Later,0.0,False,579,Information is typically available before fire ignition.
tmmn_5D_max,Definitely Safe,Review Later,0.0,False,397,Information is typically available before fire ignition.
tmmx_5D_max,Definitely Safe,Review Later,0.0,False,438,Information is typically available before fire ignition.
rmin_5D_min,Definitely Safe,Review Later,0.0,False,676,Information is typically available before fire ignition.
rmax_5D_min,Definitely Safe,Review Later,0.0,False,892,Information is typically available before fire ignition.
sph_5D_min,Definitely Safe,Review Later,0.0,False,1276,Information is typically available before fire ignition.
vs_5D_max,Definitely Safe,Review Later,0.0,False,141,Information is typically available before fire ignition.
th_5D_max,Definitely Safe,Review Later,0.0,False,348,Information is typically available before fire ignition.
srad_5D_max,Definitely Safe,Review Later,0.0,False,2903,Information is typically available before fire ignition.
etr_5D_max,Definitely Safe,Review Later,0.0,False,221,Information is typically available before fire ignition.
fm100_5D_min,Definitely Safe,Review Later,0.0,False,227,Information is typically available before fire ignition.
fm1000_5D_min,Definitely Safe,Review Later,0.0,False,273,Information is typically available before fire ignition.
bi_5D_max,Definitely Safe,Candidate Feature,0.0,False,136,Information is typically available before fire ignition.
vpd_5D_max,Definitely Safe,Review Later,0.0,False,624,Information is typically available before fire ignition.
erc_5D_max,Definitely Safe,Candidate Feature,0.0,False,115,Information is typically available before fire ignition.
tmmn_Percentile,Definitely Safe,Likely Remove,0.0,True,1,Information is typically available before fire ignition.
tmmx_Percentile,Definitely Safe,Likely Remove,0.0,True,1,Information is typically available before fire ignition.
sph_Percentile,Definitely Safe,Candidate Feature,0.0,False,6,Information is typically available before fire ignition.
vs_Percentile,Definitely Safe,Candidate Feature,0.2201,False,6,Information is typically available before fire ignition.
fm100_Percentile,Definitely Safe,Candidate Feature,0.0138,False,6,Information is typically available before fire ignition.
bi_Percentile,Definitely Safe,Candidate Feature,0.0865,False,6,Information is typically available before fire ignition.
vpd_Percentile,Definitely Safe,Candidate Feature,0.1238,False,12,Information is typically available before fire ignition.
erc_Percentile,Definitely Safe,Candidate Feature,0.0884,False,6,Information is typically available before fire ignition.
NDVI-1day,Definitely Safe,Candidate Feature,2.3309,False,113,Information is typically available before fire ignition.
NDVI_min,Definitely Safe,Candidate Feature,0.0,False,38690,Information is typically available before fire ignition.
NDVI_max,Definitely Safe,Candidate Feature,0.0,False,38691,Information is typically available before fire ignition.
NDVI_mean,Definitely Safe,Candidate Feature,0.0,False,38691,Information is typically available before fire ignition.
CheatGrass,Definitely Safe,Candidate Feature,27.2145,False,43,Information is typically available before fire ignition.
ExoticAnnualGrass,Definitely Safe,Candidate Feature,27.2145,False,51,Information is typically available before fire ignition.
Medusahead,Definitely Safe,Review Later,27.2145,False,27,Information is typically available before fire ignition.
PoaSecunda,Definitely Safe,Review Later,27.2145,False,20,Information is typically available before fire ignition.
geometry,Definitely Safe,Administrative,100.0,True,0,Information is typically available before fire ignition.
source_year,Definitely Safe,Review Later,0.0,False,7,Information is typically available before fire ignition.
