Feature A,Feature B,Correlation,Abs Corr
tmmn,sph_5D_mean,0.913455,0.913455
Annual_etr,Aridity_index,-0.913445,0.913445
tmmn,sph,0.913055,0.913055
tmmx_Normal,tmmx_5D_max,0.912201,0.912201
fm100_5D_min,erc_5D_max,-0.910841,0.910841
vpd,vpd_5D_mean,0.908408,0.908408
tmmn,tmmx_5D_mean,0.908026,0.908026
HBLI,HB_ET,0.907358,0.907358
tmmn_Normal,tmmn,0.907055,0.907055
tmmn_Normal,tmmx_5D_mean,0.906906,0.906906
etr,etr_5D_mean,0.906616,0.906616
tmmn,sph_5D_min,0.904988,0.904988
vpd_Normal,tmmx_5D_max,0.90354,0.90354
M_TRN,TPLI,0.903196,0.903196
sph,tmmn_5D_mean,0.903146,0.903146
tmmx_5D_mean,tmmn_5D_max,0.902693,0.902693
tmmn,tmmx,0.902215,0.902215
sph_Normal,tmmn_5D_max,0.9021,0.9021
vpd_5D_mean,tmmx_5D_max,0.90187,0.90187
erc,erc_5D_max,0.900842,0.900842
tmmx_5D_mean,vpd_5D_mean,0.900217,0.900217
