Column,Feature Group
UN_ET,Other
LISO_ET,Other
POV_ET,Other
LMI_ET,Other
IA_LMI_ET,Other
IA_UN_ET,Other
IA_POV_ET,Other
TC,Other
CC,Other
IAULHSE,Other
IAPLHSE,Other
IALMILHSE,Other
IALMIL_87,Other
IAPLHS_88,Other
IAULHS_89,Other
LHE,Other
IALHE,Other
IAHSEF,Other
CA,Other
NCA,Other
CA_LT20,Other
M_CLT_EOMI,Other
M_ENY_EOMI,Other
M_TRN_EOMI,Other
M_HSG_EOMI,Other
M_PLN_EOMI,Other
M_WTR_EOMI,Other
M_HLTH_102,Other
M_WKFC_103,Other
FPL200S,Other
M_WKFC_105,Other
M_EBSI,Other
UI_EXP,Other
THRHLD,Fire Weather Index
No_FireStation_1.0km,Fire Stations
No_FireStation_5.0km,Fire Stations
No_FireStation_10.0km,Fire Stations
No_FireStation_20.0km,Fire Stations
FRG_1km,Other
FRG,Other
TRI_1km,Terrain
TRI,Terrain
Aspect_1km,Terrain
Elevation_1km,Terrain
Elevation,Terrain
Slope_1km,Terrain
Aspect,Terrain
Slope,Terrain
GHM,Other
TPI,Terrain
TPI_1km,Terrain
TRACT,Other
RPL_THEMES,Other
RPL_THEME1,Other
EPL_POV,Other
EPL_UNEMP,Other
EPL_PCI,Other
EPL_NOHSDP,Other
RPL_THEME2,Other
EPL_AGE65,Other
EPL_AGE17,Other
EPL_DISABL,Other
EPL_SNGPNT,Other
RPL_THEME3,Other
EPL_MINRTY,Other
EPL_LIMENG,Other
RPL_THEME4,Other
EPL_MUNIT,Administrative
EPL_MOBILE,Fire Weather Index
EPL_CROWD,Other
EPL_NOVEH,Other
EPL_GROUPQ,Other
road_county_dis,Administrative
road_interstate_dis,Administrative
road_common_name_dis,Infrastructure
road_other_dis,Infrastructure
road_state_dis,Administrative
road_US_dis,Infrastructure
Ecoregion_US_L4CODE,Ecoregion
Ecoregion_US_L3CODE,Ecoregion
Ecoregion_NA_L3CODE,Ecoregion
Ecoregion_NA_L2CODE,Ecoregion
Ecoregion_NA_L1CODE,Ecoregion
SDI,Other
Annual_etr,Other
Annual_precipitation,Other
Annual_tempreture,Other
Aridity_index,Climate / EJ
Evacuation,Other
pr,Other
tmmn,Other
tmmx,Other
rmin,Other
rmax,Other
sph,Other
vs,Other
th,Other
srad,Other
etr,Other
fm100,Fire Weather Index
fm1000,Fire Weather Index
bi,Fire Weather Index
vpd,Other
erc,Fire Weather Index
pr_5D_mean,Other
tmmn_5D_mean,Other
tmmx_5D_mean,Other
rmin_5D_mean,Other
rmax_5D_mean,Other
sph_5D_mean,Other
vs_5D_mean,Other
th_5D_mean,Other
srad_5D_mean,Other
etr_5D_mean,Other
fm100_5D_mean,Fire Weather Index
fm1000_5D_mean,Fire Weather Index
bi_5D_mean,Fire Weather Index
vpd_5D_mean,Other
erc_5D_mean,Fire Weather Index
pr_5D_min,Other
pr_5D_max,Other
tmmn_5D_max,Other
tmmx_5D_max,Other
rmin_5D_min,Other
rmax_5D_min,Other
sph_5D_min,Other
vs_5D_max,Other
th_5D_max,Other
srad_5D_max,Other
etr_5D_max,Other
fm100_5D_min,Fire Weather Index
fm1000_5D_min,Fire Weather Index
bi_5D_max,Fire Weather Index
vpd_5D_max,Other
erc_5D_max,Fire Weather Index
tmmn_Percentile,Fire Weather Index
tmmx_Percentile,Fire Weather Index
sph_Percentile,Fire Weather Index
vs_Percentile,Fire Weather Index
fm100_Percentile,Fire Weather Index
bi_Percentile,Fire Weather Index
vpd_Percentile,Fire Weather Index
erc_Percentile,Fire Weather Index
NDVI-1day,Vegetation Index
NDVI_min,Vegetation Index
NDVI_max,Vegetation Index
NDVI_mean,Vegetation Index
CheatGrass,Vegetation Types
ExoticAnnualGrass,Fire Weather Index
Medusahead,Vegetation Types
PoaSecunda,Vegetation Types
geometry,Geographic Coordinates
source_year,Other
