Column,Missing_%,Root_Cause,Treatment,Action
GAP_Sts,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
LPF_PFS,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
Popo_1km,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
PM25F_PFS,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
TPF,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
NPL_PFS,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
RMP_PFS,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
TSDF_PFS,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_CLT,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_WTR,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_WKFC,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_ENY,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_TRN,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_HSG,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
EPLRLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
EPL_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
EBLRLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
DLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
EBLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
TPLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
LPMHVLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
HBLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
RMPLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
SFLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
HWLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
WDLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
HDLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
ALI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
LMILHSE,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
LLELI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
LILHSE,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
PLHSE,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
EB_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
PM25LI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
EBL_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
EAL_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_HLTH,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_PLN,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
DS_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
SM_C,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
SM_PFS,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
IAULHSE,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
HB_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
IAPLHSE,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
RMP_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
NPL_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
WD_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
DB_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
A_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
LLE_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
UN_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
LISO_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
POV_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
TSDF_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
IA_LMI_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
IA_UN_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
IA_POV_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
LMI_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
CC,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
TC,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
HD_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
IALMILHSE,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_HLTH_102,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_HSG_EOMI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
EALRLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
DPMLI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
LPP_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
IALHE,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
CA_LT20,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_CLT_EOMI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_ENY_EOMI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_TRN_EOMI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_PLN_EOMI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
TP_ET,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
LHE,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_WTR_EOMI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_WKFC_103,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
FPL200S,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_WKFC_105,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
M_EBSI,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
UI_EXP,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
THRHLD,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
ULHSE,0.0039,unknown,REVIEW — investigate before deciding,REVIEW
